race,sex,age,estimate
whitenothispanic,male,5to9years,4971619
whitenothispanic,male,10to14years,5353945
whitenothispanic,male,15to17years,3358231
whitenothispanic,male,18and19years,2390222
whitenothispanic,male,20to24years,6013668
whitenothispanic,male,25to29years,6167258
whitenothispanic,male,30to34years,6292451
whitenothispanic,male,35to44years,12104598
whitenothispanic,male,45to54years,12534979
whitenothispanic,male,55to64years,14366136
whitenothispanic,male,65to74years,11393772
whitenothispanic,male,75to84years,5438072
whitenothispanic,male,85yearsandover,1850572
whitenothispanic,female,female,98036183
whitenothispanic,female,under5years,4381067
whitenothispanic,female,5to9years,4717479
whitenothispanic,female,10to14years,5053574
whitenothispanic,female,15to17years,3162249
whitenothispanic,female,18and19years,2268171
whitenothispanic,female,20to24years,5666304
whitenothispanic,female,25to29years,5862123
whitenothispanic,female,30to34years,6072456
whitenothispanic,female,35to44years,11650336
whitenothispanic,female,45to54years,12152704
whitenothispanic,female,55to64years,14595781
whitenothispanic,female,65to74years,12373852
whitenothispanic,female,75to84years,6821555
whitenothispanic,female,85yearsandover,3258532
hisp,male,under5years,2517117
hisp,male,5to9years,2583207
hisp,male,10to14years,2840727
hisp,male,15to17years,1623506
hisp,male,18and19years,1098496
hisp,male,20to24years,2615399
hisp,male,25to29years,2504582
hisp,male,30to34years,2446865
hisp,male,35to44years,4629917
hisp,male,45to54years,3749647
hisp,male,55to64years,2622679
hisp,male,65to74years,1370791
hisp,male,75to84years,543393
hisp,male,85yearsandover,183970
hisp,female,female,30425570
hisp,female,under5years,2420636
hisp,female,5to9years,2472257
hisp,female,10to14years,2719902
hisp,female,15to17years,1545356
hisp,female,18and19years,1050746
hisp,female,20to24years,2476123
hisp,female,25to29years,2341632
hisp,female,30to34years,2211736
hisp,female,35to44years,4241586
hisp,female,45to54years,3588241
hisp,female,55to64years,2669045
hisp,female,65to74years,1587448
hisp,female,75to84years,770830
hisp,female,85yearsandover,330032
