Batch,Embedded data variable,CDF_Threshold,Batch Type
14,pi2,0.098,Iterative Batch Phase: Min
14,pi3,0.158,Iterative Batch Phase: Min
14,pi4,0.614,Iterative Batch Phase: Min
14,pi5,0.753,Iterative Batch Phase: Min
14,pi6,0.946,Iterative Batch Phase: Min
14,pi7,0.973,Iterative Batch Phase: Min
15,pi1,0.042,Iterative Batch Phase: Min
15,pi2,0.09,Iterative Batch Phase: Min
15,pi3,0.157,Iterative Batch Phase: Min
15,pi4,0.552,Iterative Batch Phase: Min
15,pi5,0.683,Iterative Batch Phase: Min
15,pi6,0.896,Iterative Batch Phase: Min
15,pi7,0.924,Iterative Batch Phase: Min
16,pi1,0.026,Iterative Batch Phase: Min
16,pi2,0.065,Iterative Batch Phase: Min
16,pi3,0.107,Iterative Batch Phase: Min
16,pi4,0.41,Iterative Batch Phase: Min
16,pi5,0.494,Iterative Batch Phase: Min
16,pi6,0.91,Iterative Batch Phase: Min
16,pi7,0.949,Iterative Batch Phase: Min
17,pi1,0.03,Iterative Batch Phase: Min
17,pi2,0.066,Iterative Batch Phase: Min
17,pi3,0.096,Iterative Batch Phase: Min
17,pi4,0.342,Iterative Batch Phase: Min
17,pi5,0.486,Iterative Batch Phase: Min
17,pi6,0.919,Iterative Batch Phase: Min
17,pi7,0.959,Iterative Batch Phase: Min
18,pi1,0.038,Iterative Batch Phase: Min
18,pi2,0.058,Iterative Batch Phase: Min
18,pi3,0.088,Iterative Batch Phase: Min
18,pi4,0.329,Iterative Batch Phase: Min
18,pi5,0.43,Iterative Batch Phase: Min
18,pi6,0.94,Iterative Batch Phase: Min
18,pi7,0.973,Iterative Batch Phase: Min
19,pi1,0.04,Iterative Batch Phase: Min
19,pi2,0.053,Iterative Batch Phase: Min
19,pi3,0.083,Iterative Batch Phase: Min
19,pi4,0.255,Iterative Batch Phase: Min
19,pi5,0.36,Iterative Batch Phase: Min
19,pi6,0.959,Iterative Batch Phase: Min
19,pi7,0.975,Iterative Batch Phase: Min
20,pi1,0.055,Iterative Batch Phase: Min
20,pi2,0.069,Iterative Batch Phase: Min
20,pi3,0.098,Iterative Batch Phase: Min
20,pi4,0.309,Iterative Batch Phase: Min
20,pi5,0.421,Iterative Batch Phase: Min
20,pi6,0.967,Iterative Batch Phase: Min
20,pi7,0.987,Iterative Batch Phase: Min
21,pi1,0.081,Iterative Batch Phase: Min
21,pi2,0.102,Iterative Batch Phase: Min
21,pi3,0.137,Iterative Batch Phase: Min
21,pi4,0.443,Iterative Batch Phase: Min
21,pi5,0.53,Iterative Batch Phase: Min
21,pi6,0.943,Iterative Batch Phase: Min
21,pi7,0.966,Iterative Batch Phase: Min
