Batch,Embedded data variable,CDF_Threshold,Batch Type
17,pi3,0.55,Iterative Batch Phase: Min
18,pi1,0.407,Iterative Batch Phase: Min
18,pi2,0.46,Iterative Batch Phase: Min
18,pi3,0.639,Iterative Batch Phase: Min
19,pi1,0.469,Iterative Batch Phase: Min
19,pi2,0.527,Iterative Batch Phase: Min
19,pi3,0.648,Iterative Batch Phase: Min
20,pi1,0.59,Iterative Batch Phase: Min
20,pi2,0.661,Iterative Batch Phase: Min
20,pi3,0.704,Iterative Batch Phase: Min
21,pi1,0.572,Iterative Batch Phase: Min
21,pi2,0.648,Iterative Batch Phase: Min
21,pi3,0.701,Iterative Batch Phase: Min
